Tabla 1
Name of pages,Subpage,Modules,Variables, Values,Frequencies / intervals,Table names,
Currency,Main,Notifications,Label,"Average spot price, + high / + low",3 hours,Market second + Info indicator + Market minute,
Currency,Secondary,Notifications,Stats; History; Last 5 days; Economic calendar; News,"Var, + up / + down; Update; Update Calendar; Every News Post",3h; 24h; 96h; 30 days; 120 days; 365 days,"Market second + Market minute, Market Day, News, Calendar + Twig function",
Currency,Main,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Currency,Secondary,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Currency,Main,Favorites,Dedicated user account page,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Currency,Secondary,Favorites,Dedicated user account page,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Actions,Main,Notifications,Label,"Average spot price, + high / + low",3 hours,Market second + Info indicator + Market minute,
Actions,Secondary,Notifications,Business; Stats; Last 5 Days History; Economic Calendar; Stocks; Options; News Feed,"Company Update, Var, + up / + down; Balance Sheet Update; Calendar Update; Options Update; Each News Publication",3h; 24h; 96h; 30 days; 120 days; 365 days,Module implemented by the service provider,
Actions,Main,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Actions,Secondary,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Actions,Main,Favorites,Dedicated user account page,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Actions,Secondary,Favorites,Dedicated user account page,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Options,Main,Notifications,Label,"Average spot price, + high / + low",3 hours,Market second + Info indicator + Market minute,
Options,Secondary,Notifications,Business; Stats; Last 5 Days History; Economic Calendar; Stocks; Options; News Feed,"Company Update, Var, + up / + down; Balance Sheet Update; Calendar Update; Options Update; Each News Publication",3h; 24h; 96h; 30 days; 120 days; 365 days,"Market second + Market minute, Market Day, News, Calendar + Twig function",
Options,Main,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Options,Secondary,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Options,Main,Favorites,Dedicated user account page,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Options,Secondary,Favorites,Dedicated user account page,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Cryptos,Main,Notifications,Label,"Average spot price, + high / + low",3 hours,Market second + table of labels + Market minute,
Cryptos,Secondary,Notifications,Stats; History; Last 5 days; Economic calendar; News,"Var, + up / + down; Update; Update Calendar; Every News Post",3h; 24h; 96h; 30 days; 120 days; 365 days,"Market second + Market minute, Market Day, News, Calendar + Twig function",
Cryptos,Main,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Cryptos,Secondary,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Cryptos,Main,Favorites,Dedicated user account page,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Cryptos,Secondary,Favorites,Dedicated user account page,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Metals,Main,Notifications,Label,"Average spot price, + high / + low",3 hours,Market second + Info indicator + Market minute,
Metals,Secondary,Notifications,Stats; History; Last 5 days; Economic calendar; News,"Var, + up / + down; Update; Update Calendar; Every News Post",3h; 24h; 96h; 30 days; 120 days; 365 days,"Market second + Market minue, Market Day, News, Calendar + Twig function",
Metals,Main,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Metals,Secondary,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Metals,Main,Favorites,Dedicated user account page,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Metals,Secondary,Favorites,Dedicated user account page,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
News,Main,Notifications,News; Investing; Analyst; Earnings; Calendar; Trading; Announcement; Markets; European Regulatory; Cryptocurrency; Stocks; Health; Economics; Price; Tech,Page Name + Page Link + Variables + Image,Each publication and update according to the selected variable,New,
News,Main,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
News,Main,Favorites,Dedicated user account page,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Economic calendar,Main,Notifications,Country; Event; Date,Page Name + Page Link + Variables + Image,Each publication and update according to the selected variable,Calendar + Twig function,
Economic calendar,Main,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Economic calendar,Main,Favorites,Dedicated user account page,Page Name + Page Link + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Market Square,List of purchase projects,Notifications,Country; Products,Page Name + Page Link + Variables + Image,Each publication and update according to the selected variable,Operation; list of projects; country; area,
Market Square,List of purchase projects,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Market Square,List of purchase projects,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Market Square,List of sales projects,Notifications,Country; Products,Page Name + Page Link + Variables + Image,Each publication and update according to the selected variable,Operation; list of projects; country; area,
Market Square,List of sales projects,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Market Square,List of sales projects,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Supplier / Customer,List of Suppliers,Notifications,Suppliers; Products,Page Name + Page Link + Variables + Image,Each publication and update according to the selected variable,Export,
Supplier / Customer,List of Suppliers,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Supplier / Customer,List of Suppliers,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Supplier / Customer,Customer List,Notifications,Customers; Products,Page Name + Page Link + Variables + Image,Each publication and update according to the selected variable,Export,
Supplier / Customer,Customer List,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Supplier / Customer,Customer List,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Legal information,Business search,Notifications,Legal Identity; Establishments; Legal and Commercial Announcements; Beneficial Owners; Representatives,Page Name + Page Link + Variables + Image,Each publication and update according to the selected variable,European_company; Company; Bodacc; Representatives; Beneficiaries,
Legal information,Business search,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Legal information,Business search,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Legal information,Legal and commercial announcements,Notifications,Family Reviews,Page Name + Page Link + Variables + Image,Each publication and update according to the selected variable,Bodacc,
Legal information,Legal and commercial announcements,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Legal information,Legal and commercial announcements,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Sector analysis,Comparative analysis,Notifications,"Country, activity classification",Page Name + Page Link + Variables + Image,Each publication and update according to the selected variable,European_company; Company; Join tables,
Sector analysis,Comparative analysis,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Sector analysis,Comparative analysis,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Sector analysis,Classification of economic activities,Notifications,"Country, sector of economic activity",Page Name + Page Link + Variables + Image,Each publication and update according to the selected variable,European_company; Company; Join tables,
Sector analysis,Classification of economic activities,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Sector analysis,Classification of economic activities,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Financial indicators,"Structure ratios (immobilization, liquidity",Notifications,,,,To explain,
Financial indicators,"Structure ratios (immobilization, liquidity",Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Financial indicators,"Structure ratios (immobilization, liquidity",Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Financial indicators,"Solvency ratios (capacity, financial autonomy",Notifications,,,,To explain,
Financial indicators,"Solvency ratios (capacity, financial autonomy",Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Financial indicators,"Solvency ratios (capacity, financial autonomy",Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Financial indicators,"Profitability ratios (gross operating margin, productivity",Notifications,,,,To explain,
Financial indicators,"Profitability ratios (gross operating margin, productivity",Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Financial indicators,"Profitability ratios (gross operating margin, productivity",Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Financial indicators,"Credit durations and stock rotation (Supplier credit, stock rotation",Notifications,,,,To explain,
Financial indicators,"Credit durations and stock rotation (Supplier credit, stock rotation",Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Financial indicators,"Credit durations and stock rotation (Supplier credit, stock rotation",Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Leaders,Beneficial Owners,Notifications,,,,To explain,
Leaders,Beneficial Owners,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Leaders,Beneficial Owners,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Leaders,Business representatives,Notifications,,,,To explain,
Leaders,Business representatives,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Leaders,Business representatives,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Leaders,Age and gender ratio of managers by sector of activity,Notifications,,,,To explain,
Leaders,Age and gender ratio of managers by sector of activity,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Leaders,Age and gender ratio of managers by sector of activity,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Leaders,Capital ties,Notifications,,,,To explain,
Leaders,Capital ties,Sharing,Facebook; X; Linkedin; E-mail; Whatsapp,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
Leaders,Capital ties,Favorites,Dedicated user account page,Page Name + Page Link + Subpage Name + Image,Each click of the link must return a request in order to open the page,Module implemented by the service provider,
